name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Jake Billingsley,Thailand,60,TX,33,0,Male,South,Not Coast,Old School,Old
Ted Rogers Jr.,Thailand,37,NC,36,0,Male,South,East Coast,Old School,Middle
Helen Glover,Thailand,47,RI,37,0,Female,Northeast,East Coast,Old School,Middle
Jan Gentry,Thailand,53,FL,38,0,Female,South,East Coast,Old School,Old
Clay Jordan,Thailand,46,LA,39,1,Male,South,Not Coast,Old School,Middle
Brian Heidik,Thailand,34,CA,39,1,Male,West,West Coast,Old School,Young
Ryan Aiken,The Amazon,23,MD,3,0,Male,South,Not Coast,Old School,Young
Janet Koth,The Amazon,46,MO,6,0,Female,Midwest,Not Coast,Old School,Middle
Daniel Lue,The Amazon,26,TX,9,0,Male,South,Not Coast,Old School,Young
JoAnna Ward,The Amazon,31,SC,12,0,Female,South,East Coast,Old School,Young
Jeanne Hebert,The Amazon,40,MA,15,0,Female,Northeast,East Coast,Old School,Middle
Shawna Mitchell,The Amazon,23,CA,18,0,Female,West,West Coast,Old School,Young
Roger Sexton,The Amazon,56,CA,21,0,Male,West,West Coast,Old School,Old
Dave Johnson,The Amazon,23,CA,24,0,Male,West,West Coast,Old School,Young
Deena Bennett,The Amazon,35,CA,27,0,Female,West,West Coast,Old School,Young
Alex Bell,The Amazon,32,CA,30,0,Male,West,West Coast,Old School,Young
Christy Smith,The Amazon,24,CO,33,0,Female,West,Not Coast,Old School,Young
Heidi Strobel,The Amazon,24,MO,36,0,Female,Midwest,Not Coast,Old School,Young
Butch Lockley,The Amazon,50,IL,37,0,Male,Midwest,Not Coast,Old School,Middle
Rob Cesternino,The Amazon,24,NY,38,0,Male,Northeast,East Coast,Old School,Young
Matthew von Ertfelda,The Amazon,33,DC,39,1,Male,South,Not Coast,Old School,Young
Jenna Morasca,The Amazon,21,PA,39,1,Female,Northeast,Not Coast,Old School,Young
Nicole Delma,Pearl Islands,24,CA,3,0,Female,West,West Coast,Old School,Young
Ryan Shoulders,Pearl Islands,23,TN,6,0,Male,South,Not Coast,Old School,Young
Michelle Tesauro,Pearl Islands,22,NJ,15,0,Female,Northeast,East Coast,Old School,Young
Trish Dunn,Pearl Islands,42,MD,18,0,Female,South,Not Coast,Old School,Middle
Shawn Cohen,Pearl Islands,28,NY,19,0,Male,Northeast,East Coast,Old School,Young
Osten Taylor,Pearl Islands,27,MA,19,1,Male,Northeast,East Coast,Old School,Young
Andrew Savage,Pearl Islands,39,IL,21,0,Male,Midwest,Not Coast,Old School,Middle
Ryan Opray,Pearl Islands,30,CA,24,0,Male,West,West Coast,Old School,Young
Rupert Boneham,Pearl Islands,39,IN,27,0,Male,Midwest,Not Coast,Old School,Middle
Tijuana Bradley,Pearl Islands,26,MO,30,0,Female,Midwest,Not Coast,Old School,Young
Christa Hastie,Pearl Islands,24,CA,33,0,Female,West,West Coast,Old School,Young
Burton Roberts,Pearl Islands,31,CA,36,0,Male,West,West Coast,Old School,Young
Darrah Johnson,Pearl Islands,22,MS,37,0,Female,South,Not Coast,Old School,Young
Jon Dalton,Pearl Islands,29,VA,38,0,Male,South,East Coast,Old School,Young
Lillian Morris,Pearl Islands,51,OH,39,1,Female,Midwest,Not Coast,Old School,Old
Sandra Diaz-Twine,Pearl Islands,29,WA,39,1,Female,West,West Coast,Old School,Young
Tina Wesson,All-Stars,42,TN,3,0,Female,South,Not Coast,Old School,Middle
Rudy Boesch,All-Stars,75,VA,6,0,Male,South,East Coast,Old School,Old
Jenna Morasca,All-Stars,22,PA,9,1,Female,Northeast,Not Coast,Old School,Young
Rob Cesternino,All-Stars,25,NY,12,0,Male,Northeast,East Coast,Old School,Young
Richard Hatch,All-Stars,42,RI,15,0,Male,Northeast,East Coast,Old School,Middle
Susan Hawk,All-Stars,42,WI,17,1,Female,Midwest,Not Coast,Old School,Middle
Colby Donaldson,All-Stars,29,TX,19,0,Male,South,Not Coast,Old School,Young
Ethan Zohn,All-Stars,30,MA,21,0,Male,Northeast,East Coast,Old School,Young
Jerri Manthey,All-Stars,33,CA,24,0,Female,West,West Coast,Old School,Young
Lex van den Berghe,All-Stars,40,CA,27,0,Male,West,West Coast,Old School,Middle
Kathy Vavrick-O'Brien,All-Stars,49,VT,28,0,Female,Northeast,Not Coast,Old School,Middle
Alicia Calaway,All-Stars,35,NY,30,0,Female,Northeast,East Coast,Old School,Young
Shii Ann Huang,All-Stars,29,NY,33,0,Female,Northeast,East Coast,Old School,Young
Tom Buchanan,All-Stars,48,VA,36,0,Male,South,East Coast,Old School,Middle
Rupert Boneham,All-Stars,39,IN,37,0,Male,Midwest,Not Coast,Old School,Middle
Jenna Lewis,All-Stars,26,NH,38,0,Female,Northeast,East Coast,Old School,Young
Rob Mariano,All-Stars,27,MA,39,1,Male,Northeast,East Coast,Old School,Young
Amber Brkich,All-Stars,25,PA,39,1,Female,Northeast,Not Coast,Old School,Young
Brook Geraghty,Vanuatu,27,MA,3,0,Male,Northeast,East Coast,Old School,Young
Dolly Neely,Vanuatu,25,PA,6,0,Female,Northeast,Not Coast,Old School,Young
John Palyok,Vanuatu,31,CA,7,0,Male,West,West Coast,Old School,Young
Mia Galeotalanza,Vanuatu,29,NJ,7,0,Female,Northeast,East Coast,Old School,Young
Brady Finta,Vanuatu,33,CA,10,0,Male,West,West Coast,Old School,Young
Travis Sampson,Vanuatu,33,TN,12,0,Male,South,Not Coast,Old School,Young
