name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Russell Hantz,Samoa,36,TX,39,1,Male,South,Not Coast,New School,Middle
Natalie White,Samoa,26,AR,39,1,Female,South,Not Coast,New School,Young
Sugar Kiper,Heroes vs. Villains,30,CA,3,0,Female,West,West Coast,New School,Young
Stephenie LaGrossa,Heroes vs. Villains,29,PA,6,0,Female,Northeast,Not Coast,New School,Young
Randy Bailey,Heroes vs. Villains,50,TX,8,0,Male,South,Not Coast,New School,Middle
Cirie Fields,Heroes vs. Villains,39,NJ,11,0,Female,Northeast,East Coast,New School,Middle
Tom Westman,Heroes vs. Villains,45,NY,14,0,Male,Northeast,East Coast,New School,Middle
Tyson Apostol,Heroes vs. Villains,30,UT,15,0,Male,West,Not Coast,New School,Young
James Clement,Heroes vs. Villains,32,LA,15,0,Male,South,Not Coast,New School,Young
Rob Mariano,Heroes vs. Villains,33,FL,18,0,Male,South,East Coast,New School,Young
Coach Wade,Heroes vs. Villains,38,CA,21,0,Male,West,West Coast,New School,Middle
Courtney Yates,Heroes vs. Villains,28,NY,24,0,Female,Northeast,East Coast,New School,Young
J.T. Thomas,Heroes vs. Villains,25,AL,27,0,Male,South,Not Coast,New School,Young
Amanda Kimmel,Heroes vs. Villains,25,CA,30,0,Female,West,West Coast,New School,Young
Candice Woodcock,Heroes vs. Villains,26,DC,31,0,Female,South,Not Coast,New School,Young
Danielle DiLorenzo,Heroes vs. Villains,28,CA,33,0,Female,West,West Coast,New School,Young
Rupert Boneham,Heroes vs. Villains,45,IN,36,0,Male,Midwest,Not Coast,New School,Middle
Colby Donaldson,Heroes vs. Villains,35,TX,37,0,Male,South,Not Coast,New School,Young
Jerri Manthey,Heroes vs. Villains,38,CA,38,0,Female,West,West Coast,New School,Middle
Russell Hantz,Heroes vs. Villains,36,TX,39,1,Male,South,Not Coast,New School,Middle
Parvati Shallow,Heroes vs. Villains,26,CA,39,1,Female,West,West Coast,New School,Young
Sandra Diaz-Twine,Heroes vs. Villains,35,CT,39,1,Female,Northeast,East Coast,New School,Young
Wendy DeSmidt-Kohlhoff,Nicaragua,48,MT,3,0,Female,West,Not Coast,New School,Middle
Shannon Elkins,Nicaragua,30,LA,6,0,Male,South,Not Coast,New School,Young
Jimmy Johnson,Nicaragua,67,FL,8,0,Male,South,East Coast,New School,Old
Jimmy Tarantino,Nicaragua,48,MA,11,0,Male,Northeast,East Coast,New School,Middle
Tyrone Davis,Nicaragua,42,CA,14,0,Male,West,West Coast,New School,Middle
Kelly Bruno,Nicaragua,26,NC,15,0,Female,South,East Coast,New School,Young
Yve Rojas,Nicaragua,41,MO,15,0,Female,Midwest,Not Coast,New School,Middle
Jill Behm,Nicaragua,43,PA,18,0,Female,Northeast,Not Coast,New School,Middle
Alina Wilson,Nicaragua,23,CA,22,0,Female,West,West Coast,New School,Young
Marty Piombo,Nicaragua,48,CA,24,0,Male,West,West Coast,New School,Middle
Brenda Lowe,Nicaragua,27,FL,27,0,Female,South,East Coast,New School,Young
NaOnka Mixon,Nicaragua,27,CA,28,1,Female,West,West Coast,New School,Young
Kelly Shinn,Nicaragua,20,AZ,28,1,Female,West,Not Coast,New School,Young
Benry Henry,Nicaragua,24,CA,32,0,Male,West,West Coast,New School,Young
Jane Bright,Nicaragua,56,NC,36,0,Female,South,East Coast,New School,Old
Dan Lembo,Nicaragua,63,NY,37,0,Male,Northeast,East Coast,New School,Old
Holly Hoffman,Nicaragua,44,SD,38,0,Female,Midwest,Not Coast,New School,Middle
Sash Lenahan,Nicaragua,30,NY,39,1,Male,Northeast,East Coast,New School,Young
Chase Rice,Nicaragua,24,NC,39,1,Male,South,East Coast,New School,Young
Fabio Birza,Nicaragua,21,CA,39,1,Male,West,West Coast,New School,Young
Francesca Hogi,Redemption Island,36,DC,3,0,Female,South,Not Coast,New School,Middle
Russell Hantz,Redemption Island,37,TX,8,0,Male,South,Not Coast,New School,Middle
Kristina Kell,Redemption Island,46,CA,11,0,Female,West,West Coast,New School,Middle
Krista Klumpp,Redemption Island,25,SC,13,0,Female,South,East Coast,New School,Young
Stephanie Valencia,Redemption Island,26,CA,16,0,Female,West,West Coast,New School,Young
Sarita White,Redemption Island,36,CA,18,0,Female,West,West Coast,New School,Middle
David Murphy,Redemption Island,31,CA,24,0,Male,West,West Coast,New School,Young
Julie Wolfe,Redemption Island,50,CA,27,0,Female,West,West Coast,New School,Middle
Steve Wright,Redemption Island,51,CA,30,0,Male,West,West Coast,New School,Old
Ralph Kiser,Redemption Island,45,VA,30,0,Male,South,East Coast,New School,Middle
Grant Mattos,Redemption Island,29,CA,35,0,Male,West,West Coast,New School,Young
Matthew Elrod,Redemption Island,22,TN,5,0,Male,South,Not Coast,New School,Young
Mike Chiesl,Redemption Island,31,CA,22,0,Male,West,West Coast,New School,Young
Andrea Boehlke,Redemption Island,21,WI,32,0,Female,Midwest,Not Coast,New School,Young
Ashley Underwood,Redemption Island,25,ME,38,0,Female,Northeast,East Coast,New School,Young
Natalie Tenerelli,Redemption Island,19,CA,39,1,Female,West,West Coast,New School,Young
Phillip Sheppard,Redemption Island,52,CA,39,1,Male,West,West Coast,New School,Old
Rob Mariano,Redemption Island,34,FL,39,1,Male,South,East Coast,New School,Young
Semhar Tadesse,South Pacific,24,CA,3,0,Female,West,West Coast,New School,Young
Mark Caruso,South Pacific,48,NY,8,0,Male,Northeast,East Coast,New School,Middle
Stacey Powell,South Pacific,44,TX,11,0,Female,South,Not Coast,New School,Middle
Elyse Umemoto,South Pacific,27,NV,14,0,Female,West,Not Coast,New School,Young
Mikayla Wingle,South Pacific,22,FL,16,0,Female,South,East Coast,New School,Young
Christine Shields Markoski,South Pacific,39,NY,5,0,Female,Northeast,East Coast,New School,Middle
Jim Rice,South Pacific,35,CO,24,0,Male,West,Not Coast,New School,Young
Keith Tollefson,South Pacific,26,CA,21,0,Male,West,West Coast,New School,Young
Dawn Meehan,South Pacific,41,UT,27,0,Female,West,Not Coast,New School,Middle
Whitney Duncan,South Pacific,27,TN,27,0,Female,South,Not Coast,New School,Young
John Cochran,South Pacific,24,DC,30,0,Male,South,Not Coast,New School,Young
Edna Ma,South Pacific,35,CA,32,0,Female,West,West Coast,New School,Young
Brandon Hantz,South Pacific,19,TX,35,0,Male,South,Not Coast,New School,Young
Rick Nelson,South Pacific,51,UT,37,0,Male,West,Not Coast,New School,Old
Ozzy Lusth,South Pacific,30,CA,38,0,Male,West,West Coast,New School,Young
Albert Destrade,South Pacific,26,FL,39,1,Male,South,East Coast,New School,Young
Coach Wade,South Pacific,39,CA,39,1,Male,West,West Coast,New School,Middle
Sophie Clarke,South Pacific,22,NY,39,1,Female,Northeast,East Coast,New School,Young
Kourtney Moon,One World,29,TX,3,1,Female,South,Not Coast,New School,Young
Nina Acosta,One World,51,CA,5,0,Female,West,West Coast,New School,Old
Matt Quinlan,One World,33,CA,8,0,Male,West,West Coast,New School,Young
Bill Posley,One World,28,CA,11,0,Male,West,West Coast,New School,Young
Monica Culpepper,One World,41,FL,14,0,Female,South,East Coast,New School,Middle
Colton Cumbie,One World,21,AL,16,1,Male,South,Not Coast,New School,Young
Jonas Otsuji,One World,37,UT,20,0,Male,West,Not Coast,New School,Middle
Michael Jefferson,One World,30,WA,22,0,Male,West,West Coast,New School,Young
Jay Byars,One World,25,SC,25,0,Male,South,East Coast,New School,Young
Leif Manson,One World,27,CA,27,0,Male,West,West Coast,New School,Young
Troyzan Robertson,One World,50,FL,30,0,Male,South,East Coast,New School,Middle
Kat Edorsson,One World,22,FL,33,0,Female,South,East Coast,New School,Young
Tarzan Smith,One World,64,TX,36,0,Male,South,Not Coast,New School,Old
Alicia Rosa,One World,25,IL,37,0,Female,Midwest,Not Coast,New School,Young
Christina Cha,One World,29,CA,38,0,Female,West,West Coast,New School,Young
Chelsea Meissner,One World,26,SC,39,1,Female,South,East Coast,New School,Young
Sabrina Thompson,One World,33,NY,39,1,Female,Northeast,East Coast,New School,Young
Kim Spradlin,One World,29,TX,39,1,Female,South,Not Coast,New School,Young
Zane Knight,Philippines,28,VA,3,0,Male,South,East Coast,New School,Young
Roxanne Morris,Philippines,28,NY,6,0,Female,Northeast,East Coast,New School,Young
Angie Layton,Philippines,20,UT,8,0,Female,West,Not Coast,New School,Young
Russell Swan,Philippines,45,PA,10,0,Male,Northeast,Not Coast,New School,Middle
Dana Lambert,Philippines,32,NC,12,1,Female,South,East Coast,New School,Young
Sarah Dawson,Philippines,28,MD,13,0,Female,South,Not Coast,New School,Young
Katie Hanson,Philippines,22,DE,16,0,Female,South,East Coast,New School,Young
R.C. Saint-Amour,Philippines,27,NY,19,0,Female,Northeast,East Coast,New School,Young
Jeff Kent,Philippines,44,TX,22,0,Male,South,Not Coast,New School,Middle
Artis Silvester,Philippines,53,LA,25,0,Male,South,Not Coast,New School,Old
Pete Yurkowski,Philippines,24,NJ,27,0,Male,Northeast,East Coast,New School,Young
Jonathan Penner,Philippines,50,CA,30,0,Male,West,West Coast,New School,Middle
Carter Williams,Philippines,24,KS,33,0,Male,Midwest,Not Coast,New School,Young
Abi-Maria Gomes,Philippines,32,CA,36,0,Female,West,West Coast,New School,Young
Malcolm Freberg,Philippines,25,CA,38,0,Male,West,West Coast,New School,Young
Lisa Whelchel,Philippines,49,TX,39,1,Female,South,Not Coast,New School,Middle
Michael Skupin,Philippines,50,MI,39,1,Male,Midwest,Not Coast,New School,Middle
Denise Stapley,Philippines,41,IA,39,1,Female,Midwest,Not Coast,New School,Middle
Francesca Hogi,Caramoan,38,NY,3,0,Female,Northeast,East Coast,New School,Middle
Allie Pohevitz,Caramoan,25,NY,5,0,Female,Northeast,East Coast,New School,Young
Hope Driskill,Caramoan,23,MO,7,0,Female,Midwest,Not Coast,New School,Young
Shamar Thomas,Caramoan,27,NY,10,1,Male,Northeast,East Coast,New School,Young
Laura Alexander,Caramoan,23,DC,10,0,Female,South,Not Coast,New School,Young
Brandon Hantz,Caramoan,20,TX,13,0,Male,South,Not Coast,New School,Young
Matt Bischoff,Caramoan,38,OH,16,0,Male,Midwest,Not Coast,New School,Middle
Julia Landauer,Caramoan,21,CA,19,0,Female,West,West Coast,New School,Young
Corinne Kaplan,Caramoan,33,CA,22,0,Female,West,West Coast,New School,Young
Michael Snow,Caramoan,44,NY,25,0,Male,Northeast,East Coast,New School,Middle
Phillip Sheppard,Caramoan,54,CA,28,0,Male,West,West Coast,New School,Old
Malcolm Freberg,Caramoan,25,CA,30,0,Male,West,West Coast,New School,Young
Reynold Toepfer,Caramoan,30,CA,31,0,Male,West,West Coast,New School,Young
Andrea Boehlke,Caramoan,23,NY,33,0,Female,Northeast,East Coast,New School,Young
Brenda Lowe,Caramoan,29,FL,36,0,Female,South,East Coast,New School,Young
Erik Reichenbach,Caramoan,27,CA,36,1,Male,West,West Coast,New School,Young
Eddie Fox,Caramoan,23,NJ,38,0,Male,Northeast,East Coast,New School,Young
Dawn Meehan,Caramoan,42,UT,39,1,Female,West,Not Coast,New School,Middle
Sherri Biethman,Caramoan,41,ID,39,1,Female,West,Not Coast,New School,Middle
John Cochran,Caramoan,25,DC,39,1,Male,South,Not Coast,New School,Young
Rupert Boneham,Blood vs. Water,49,IN,1,1,Male,Midwest,Not Coast,New School,Middle
Colton Cumbie,Blood vs. Water,22,AL,7,1,Male,South,Not Coast,New School,Young
Rachel Foulger,Blood vs. Water,33,UT,6,0,Female,West,Not Coast,New School,Young
Marissa Peterson,Blood vs. Water,21,NC,3,0,Female,South,East Coast,New School,Young
Candice Cody,Blood vs. Water,30,DC,1,1,Female,South,Not Coast,New School,Young
Brad Culpepper,Blood vs. Water,44,FL,10,0,Male,South,East Coast,New School,Middle
Kat Edorsson,Blood vs. Water,23,FL,16,0,Female,South,East Coast,New School,Young
John Cody,Blood vs. Water,30,DC,8,0,Male,South,Not Coast,New School,Young
Laura Boneham,Blood vs. Water,44,IN,18,0,Female,Midwest,Not Coast,New School,Middle
Aras Baskauskas,Blood vs. Water,31,CA,21,0,Male,West,West Coast,New School,Young
Vytas Baskauskas,Blood vs. Water,33,CA,22,0,Male,West,West Coast,New School,Young
Caleb Bankston,Blood vs. Water,26,AL,29,0,Male,South,Not Coast,New School,Young
Katie Collins,Blood vs. Water,25,NY,32,0,Female,Northeast,East Coast,New School,Young
Hayden Moss,Blood vs. Water,27,TX,35,0,Male,South,Not Coast,New School,Young
Laura Morett,Blood vs. Water,43,OR,26,0,Female,West,West Coast,New School,Middle
Ciera Eastin,Blood vs. Water,24,OR,37,0,Female,West,West Coast,New School,Young
Tina Wesson,Blood vs. Water,52,NC,38,0,Female,South,East Coast,New School,Old
Gervase Peterson,Blood vs. Water,43,PA,39,1,Male,Northeast,Not Coast,New School,Middle
Monica Culpepper,Blood vs. Water,42,FL,39,1,Female,South,East Coast,New School,Middle
Tyson Apostol,Blood vs. Water,34,UT,39,1,Male,West,Not Coast,New School,Young
David Samson,Cagayan,45,FL,3,0,Male,South,East Coast,New School,Middle
Garrett Adelstein,Cagayan,27,CA,6,0,Male,West,West Coast,New School,Young
Brice Johnston,Cagayan,27,PA,8,0,Male,Northeast,Not Coast,New School,Young
J'Tia Taylor,Cagayan,31,IL,11,0,Female,Midwest,Not Coast,New School,Young
Cliff Robinson,Cagayan,46,NJ,14,0,Male,Northeast,East Coast,New School,Middle
Lindsey Ogle,Cagayan,29,IN,14,1,Female,Midwest,Not Coast,New School,Young
Alexis Maxwell,Cagayan,21,IL,16,0,Female,Midwest,Not Coast,New School,Young
Sarah Lacina,Cagayan,29,IA,19,0,Female,Midwest,Not Coast,New School,Young
Morgan McLeod,Cagayan,21,CA,22,0,Female,West,West Coast,New School,Young
LJ McKanas,Cagayan,34,MA,25,0,Male,Northeast,East Coast,New School,Young
Jeremiah Wood,Cagayan,34,NC,28,0,Male,South,East Coast,New School,Young
Jefra Bland,Cagayan,22,KY,30,0,Female,South,Not Coast,New School,Young
Tasha Fox,Cagayan,37,MO,33,0,Female,Midwest,Not Coast,New School,Middle
Trish Hegarty,Cagayan,48,MA,36,0,Female,Northeast,East Coast,New School,Middle
Spencer Bledsoe,Cagayan,21,IL,37,0,Male,Midwest,Not Coast,New School,Young
Kass McQuillen,Cagayan,41,CA,38,0,Female,West,West Coast,New School,Middle
Woo Hwang,Cagayan,29,CA,39,1,Male,West,West Coast,New School,Young
Tony Vlachos,Cagayan,39,NJ,39,1,Male,Northeast,East Coast,New School,Middle
Nadiya Anderson,San Juan del Sur,28,NJ,3,0,Female,Northeast,East Coast,New School,Young
Val Collins,San Juan del Sur,35,MA,6,0,Female,Northeast,East Coast,New School,Young
John Rocker,San Juan del Sur,39,GA,8,0,Male,South,East Coast,New School,Middle
Drew Christy,San Juan del Sur,25,FL,10,0,Male,South,East Coast,New School,Young
Kelley Wentworth,San Juan del Sur,28,WA,13,0,Female,West,West Coast,New School,Young
Dale Wentworth,San Juan del Sur,55,WA,15,0,Male,West,West Coast,New School,Old
Julie McGee,San Juan del Sur,34,GA,18,1,Female,South,East Coast,New School,Young
Josh Canfield,San Juan del Sur,32,NY,21,0,Male,Northeast,East Coast,New School,Young
Jeremy Collins,San Juan del Sur,36,MA,24,0,Male,Northeast,East Coast,New School,Middle
Wes Nale,San Juan del Sur,23,LA,26,0,Male,South,Not Coast,New School,Young
Reed Kelly,San Juan del Sur,31,NY,29,0,Male,Northeast,East Coast,New School,Young
Alec Christy,San Juan del Sur,22,FL,32,0,Male,South,East Coast,New School,Young
Jon Misch,San Juan del Sur,26,MI,35,0,Male,Midwest,Not Coast,New School,Young
Baylor Wilson,San Juan del Sur,20,TN,37,0,Female,South,Not Coast,New School,Young
Keith Nale,San Juan del Sur,53,LA,38,0,Male,South,Not Coast,New School,Old
Missy Payne,San Juan del Sur,47,TX,39,1,Female,South,Not Coast,New School,Middle
Jaclyn Schultz,San Juan del Sur,25,NV,39,1,Female,West,Not Coast,New School,Young
Natalie Anderson,San Juan del Sur,28,NJ,39,1,Female,Northeast,East Coast,New School,Young
So Kim,Worlds Apart,31,CA,3,0,Female,West,West Coast,New School,Young
Vince Sly,Worlds Apart,32,CA,6,0,Male,West,West Coast,New School,Young
Nina Poersch,Worlds Apart,51,CA,8,0,Female,West,West Coast,New School,Old
Lindsey Cascaddan,Worlds Apart,24,FL,11,0,Female,South,East Coast,New School,Young
Max Dawson,Worlds Apart,37,CA,14,0,Male,West,West Coast,New School,Middle
Joaquin Souberbielle,Worlds Apart,27,NY,16,0,Male,Northeast,East Coast,New School,Young
Kelly Remington,Worlds Apart,44,NY,19,0,Female,Northeast,East Coast,New School,Middle
Hali Ford,Worlds Apart,25,CA,22,0,Female,West,West Coast,New School,Young
Joe Anglim,Worlds Apart,25,AZ,24,0,Male,West,Not Coast,New School,Young
Jenn Brown,Worlds Apart,22,CA,27,0,Female,West,West Coast,New School,Young
Shirin Oskooi,Worlds Apart,31,CA,29,0,Female,West,West Coast,New School,Young
Tyler Fredrickson,Worlds Apart,33,CA,32,0,Male,West,West Coast,New School,Young
Dan Foley,Worlds Apart,47,ME,35,0,Male,Northeast,East Coast,New School,Middle
Sierra Dawn Thomas,Worlds Apart,27,UT,37,0,Female,West,Not Coast,New School,Young
Rodney Lavoie Jr.,Worlds Apart,24,MA,38,0,Male,Northeast,East Coast,New School,Young
Carolyn Rivera,Worlds Apart,52,FL,39,1,Female,South,East Coast,New School,Old
Will Sims II,Worlds Apart,41,CA,39,1,Male,West,West Coast,New School,Middle
Mike Holloway,Worlds Apart,38,TX,39,1,Male,South,Not Coast,New School,Middle
Vytas Baskauskas,Cambodia,35,CA,3,0,Male,West,West Coast,New School,Young
Shirin Oskooi,Cambodia,32,CA,6,0,Female,West,West Coast,New School,Young
Peih-Gee Law,Cambodia,37,CA,9,0,Female,West,West Coast,New School,Middle
Jeff Varner,Cambodia,49,NC,11,0,Male,South,East Coast,New School,Middle
Monica Padilla,Cambodia,30,NY,13,0,Female,Northeast,East Coast,New School,Young
Terry Deitz,Cambodia,55,CT,13,1,Male,Northeast,East Coast,New School,Old
Woo Hwang,Cambodia,31,CA,16,0,Male,West,West Coast,New School,Young
Kass McQuillen,Cambodia,43,CA,19,0,Female,West,West Coast,New School,Middle
Andrew Savage,Cambodia,51,CA,21,0,Male,West,West Coast,New School,Old
Kelly Wiglesworth,Cambodia,37,NC,24,0,Female,South,East Coast,New School,Middle
Ciera Eastin,Cambodia,26,OR,26,0,Female,West,West Coast,New School,Young
Stephen Fishbach,Cambodia,36,NY,29,0,Male,Northeast,East Coast,New School,Middle
Joe Anglim,Cambodia,26,AZ,32,0,Male,West,Not Coast,New School,Young
Abi-Maria Gomes,Cambodia,35,CA,35,0,Female,West,West Coast,New School,Young
Kimmi Kappenberg,Cambodia,42,TX,36,0,Female,South,Not Coast,New School,Middle
Keith Nale,Cambodia,54,LA,37,0,Male,South,Not Coast,New School,Old
Kelley Wentworth,Cambodia,29,WA,38,0,Female,West,West Coast,New School,Young
Spencer Bledsoe,Cambodia,23,IL,39,1,Male,Midwest,Not Coast,New School,Young
Tasha Fox,Cambodia,39,MO,39,1,Female,Midwest,Not Coast,New School,Middle
Jeremy Collins,Cambodia,37,MA,39,1,Male,Northeast,East Coast,New School,Middle
Darnell Hamilton,Kaôh Rōng,27,IL,3,0,Male,Midwest,Not Coast,New School,Young
Jennifer Lanzetti,Kaôh Rōng,38,UT,6,0,Female,West,Not Coast,New School,Middle
Liz Markham,Kaôh Rōng,27,NY,8,0,Female,Northeast,East Coast,New School,Young
Caleb Reynolds,Kaôh Rōng,28,KY,9,1,Male,South,Not Coast,New School,Young
Alecia Holden,Kaôh Rōng,24,TX,11,0,Female,South,Not Coast,New School,Young
Anna Khait,Kaôh Rōng,26,NY,13,0,Female,Northeast,East Coast,New School,Young
Peter Baggenstos,Kaôh Rōng,34,MN,16,0,Male,Midwest,Not Coast,New School,Young
Neal Gottlieb,Kaôh Rōng,38,CA,19,1,Male,West,West Coast,New School,Middle
Nick Maiorano,Kaôh Rōng,30,CA,22,0,Male,West,West Coast,New School,Young
Debbie Wanner,Kaôh Rōng,49,PA,24,0,Female,Northeast,Not Coast,New School,Middle
Scot Pollard,Kaôh Rōng,40,IN,27,0,Male,Midwest,Not Coast,New School,Middle
Julia Sokolowski,Kaôh Rōng,19,MA,29,0,Female,Northeast,East Coast,New School,Young
Kyle Jason,Kaôh Rōng,31,MI,32,0,Male,Midwest,Not Coast,New School,Young
Joe del Campo,Kaôh Rōng,72,FL,34,1,Male,South,East Coast,New School,Old
Cydney Gillon,Kaôh Rōng,23,GA,37,0,Female,South,East Coast,New School,Young
Tai Trang,Kaôh Rōng,51,CA,39,1,Male,West,West Coast,New School,Old
Aubry Bracco,Kaôh Rōng,29,MA,39,1,Female,Northeast,East Coast,New School,Young
Michele Fitzgerald,Kaôh Rōng,24,NJ,39,1,Female,Northeast,East Coast,New School,Young
Rachel Ako,Millennials vs. Gen X,37,CA,4,0,Female,West,West Coast,New School,Middle
Mari Takahashi,Millennials vs. Gen X,31,CA,7,0,Female,West,West Coast,New School,Young
Paul Wachter,Millennials vs. Gen X,52,FL,10,0,Male,South,East Coast,New School,Old
Lucy Huang,Millennials vs. Gen X,42,CA,12,0,Female,West,West Coast,New School,Middle
CeCe Taylor,Millennials vs. Gen X,39,CA,15,0,Female,West,West Coast,New School,Middle
Figgy Figueroa,Millennials vs. Gen X,23,TN,18,0,Female,South,Not Coast,New School,Young
Michaela Bradshaw,Millennials vs. Gen X,25,TX,20,0,Female,South,Not Coast,New School,Young
Michelle Schubert,Millennials vs. Gen X,28,WA,23,0,Female,West,West Coast,New School,Young
Taylor Stocker,Millennials vs. Gen X,24,ID,25,0,Male,West,Not Coast,New School,Young
Chris Hammons,Millennials vs. Gen X,38,OK,28,0,Male,South,Not Coast,New School,Middle
Jessica Lewis,Millennials vs. Gen X,37,NY,30,1,Female,Northeast,East Coast,New School,Middle
Zeke Smith,Millennials vs. Gen X,28,NY,33,0,Male,Northeast,East Coast,New School,Young
Will Wahl,Millennials vs. Gen X,18,NJ,34,0,Male,Northeast,East Coast,New School,Young
Sunday Burquest,Millennials vs. Gen X,45,MN,35,0,Female,Midwest,Not Coast,New School,Middle
Jay Starrett,Millennials vs. Gen X,27,FL,36,0,Male,South,East Coast,New School,Young
Bret LaBelle,Millennials vs. Gen X,42,MA,37,0,Male,Northeast,East Coast,New School,Middle
David Wright,Millennials vs. Gen X,42,CA,38,0,Male,West,West Coast,New School,Middle
Hannah Shapiro,Millennials vs. Gen X,24,CA,39,1,Female,West,West Coast,New School,Young
Ken McNickle,Millennials vs. Gen X,33,CO,39,1,Male,West,Not Coast,New School,Young
Adam Klein,Millennials vs. Gen X,25,CA,39,1,Male,West,West Coast,New School,Young
Ciera Eastin,Game Changers,27,OR,3,0,Female,West,West Coast,New School,Young
Tony Vlachos,Game Changers,42,NJ,6,0,Male,Northeast,East Coast,New School,Middle
Caleb Reynolds,Game Changers,28,KY,9,0,Male,South,Not Coast,New School,Young
Malcolm Freberg,Game Changers,29,CA,11,0,Male,West,West Coast,New School,Young
J.T. Thomas,Game Changers,31,AL,13,0,Male,South,Not Coast,New School,Young
Sandra Diaz-Twine,Game Changers,41,CT,16,0,Female,Northeast,East Coast,New School,Middle
Jeff Varner,Game Changers,50,NC,18,0,Male,South,East Coast,New School,Middle
Hali Ford,Game Changers,26,CA,21,0,Female,West,West Coast,New School,Young
Ozzy Lusth,Game Changers,34,CA,24,0,Male,West,West Coast,New School,Young
Debbie Wanner,Game Changers,51,PA,26,0,Female,Northeast,Not Coast,New School,Old
Zeke Smith,Game Changers,28,NY,29,0,Male,Northeast,East Coast,New School,Young
Sierra Dawn Thomas,Game Changers,29,UT,32,0,Female,West,Not Coast,New School,Young
Andrea Boehlke,Game Changers,27,NY,33,0,Female,Northeast,East Coast,New School,Young
Michaela Bradshaw,Game Changers,25,TX,35,0,Female,South,Not Coast,New School,Young
Cirie Fields,Game Changers,45,SC,36,1,Female,South,East Coast,New School,Middle
Aubry Bracco,Game Changers,30,MA,37,0,Female,Northeast,East Coast,New School,Young
Tai Trang,Game Changers,52,CA,38,0,Male,West,West Coast,New School,Old
Troyzan Robertson,Game Changers,54,FL,39,1,Male,South,East Coast,New School,Old
Brad Culpepper,Game Changers,47,FL,39,1,Male,South,East Coast,New School,Middle
Sarah Lacina,Game Changers,32,IA,39,1,Female,Midwest,Not Coast,New School,Young
Katrina Radke,Heroes vs. Healers vs. Hustlers,46,MN,3,0,Female,Midwest,Not Coast,New School,Middle
Simone Nguyen,Heroes vs. Healers vs. Hustlers,25,NY,6,0,Female,Northeast,East Coast,New School,Young
Patrick Bolton,Heroes vs. Healers vs. Hustlers,24,AL,8,0,Male,South,Not Coast,New School,Young
Alan Ball,Heroes vs. Healers vs. Hustlers,32,TX,11,0,Male,South,Not Coast,New School,Young
Roark Luskin,Heroes vs. Healers vs. Hustlers,27,CA,14,0,Female,West,West Coast,New School,Young
Ali Elliott,Heroes vs. Healers vs. Hustlers,24,CA,16,0,Female,West,West Coast,New School,Young
Jessica Johnston,Heroes vs. Healers vs. Hustlers,29,KY,19,0,Female,South,Not Coast,New School,Young
Desi Williams,Heroes vs. Healers vs. Hustlers,27,VA,21,0,Female,South,East Coast,New School,Young
Cole Medders,Heroes vs. Healers vs. Hustlers,24,AR,24,0,Male,South,Not Coast,New School,Young
JP Hilsabeck,Heroes vs. Healers vs. Hustlers,28,CA,27,0,Male,West,West Coast,New School,Young
Joe Mena,Heroes vs. Healers vs. Hustlers,34,CT,30,0,Male,Northeast,East Coast,New School,Young
Lauren Rimmer,Heroes vs. Healers vs. Hustlers,35,NC,33,0,Female,South,East Coast,New School,Young
Ashley Nolan,Heroes vs. Healers vs. Hustlers,26,FL,36,0,Female,South,East Coast,New School,Young
Mike Zahalsky,Heroes vs. Healers vs. Hustlers,43,FL,37,0,Male,South,East Coast,New School,Middle
Devon Pinto,Heroes vs. Healers vs. Hustlers,23,CA,38,1,Male,West,West Coast,New School,Young
Ryan Ulrich,Heroes vs. Healers vs. Hustlers,23,NJ,39,1,Male,Northeast,East Coast,New School,Young
Chrissy Hofbeck,Heroes vs. Healers vs. Hustlers,46,NJ,39,1,Female,Northeast,East Coast,New School,Middle
Ben Driebergen,Heroes vs. Healers vs. Hustlers,34,ID,39,1,Male,West,Not Coast,New School,Young
