name,season,age,state,elim,is_censored,is_male
Alicia Calaway,All-Stars,35,NY,30,0,0
Shii Ann Huang,All-Stars,29,NY,33,0,0
Tom Buchanan,All-Stars,48,VA,36,0,1
Rupert Boneham,All-Stars,39,IN,37,0,1
Jenna Lewis,All-Stars,26,NH,38,0,0
Rob Mariano,All-Stars,27,MA,39,1,1
Amber Brkich,All-Stars,25,PA,39,1,0
Brook Geraghty,Vanuatu,27,MA,3,0,1
Dolly Neely,Vanuatu,25,PA,6,0,0
John Palyok,Vanuatu,31,CA,7,0,1
Mia Galeotalanza,Vanuatu,29,NJ,7,0,0
Brady Finta,Vanuatu,33,CA,10,0,1
Travis Sampson,Vanuatu,33,TN,12,0,1
Lisa Keiffer,Vanuatu,44,LA,15,0,0
John Kenney,Vanuatu,22,CA,18,0,1
Rory Freeman,Vanuatu,35,IA,21,0,1
Lea Masters,Vanuatu,40,SC,24,0,1
Chad Crittenden,Vanuatu,34,CA,27,0,1
Leann Slaby,Vanuatu,35,WI,30,0,0
Ami Cusack,Vanuatu,31,CO,33,0,0
Julie Berry,Vanuatu,23,ME,36,0,0
Eliza Orlins,Vanuatu,21,NY,37,0,0
Scout Cloud Lee,Vanuatu,59,OK,38,0,0
Twila Tanner,Vanuatu,41,MO,39,1,0
Chris Daugherty,Vanuatu,33,OH,39,1,1
Jonathan Libby,Palau,23,TX,2,1,1
Wanda Shirk,Palau,55,PA,2,1,0
Jolanda Jones,Palau,38,TX,3,0,0
Ashlee Ashby,Palau,22,SC,6,0,0
Jeff Wilson,Palau,21,CA,8,0,1
Kim Mullen,Palau,25,OH,11,0,0
Willard Smith,Palau,56,WA,12,0,1
Angie Jakusz,Palau,24,LA,12,0,0
James Miller,Palau,33,AL,15,0,1
Ibrehem Rahman,Palau,27,AL,18,0,1
Bobby Jon Drinkard,Palau,27,AL,21,1,1
Coby Archa,Palau,32,TX,24,0,1
Janu Tornell,Palau,39,NV,27,1,0
