name,season,age,state,elim,is_censored,is_male
Will Sims II,Worlds Apart,41,CA,39,1,1
Mike Holloway,Worlds Apart,38,TX,39,1,1
Vytas Baskauskas,Cambodia,35,CA,3,0,1
Shirin Oskooi,Cambodia,32,CA,6,0,0
Peih-Gee Law,Cambodia,37,CA,9,0,0
Jeff Varner,Cambodia,49,NC,11,0,1
Monica Padilla,Cambodia,30,NY,13,0,0
Terry Deitz,Cambodia,55,CT,13,1,1
Woo Hwang,Cambodia,31,CA,16,0,1
Kass McQuillen,Cambodia,43,CA,19,0,0
Andrew Savage,Cambodia,51,CA,21,0,1
Kelly Wiglesworth,Cambodia,37,NC,24,0,0
Ciera Eastin,Cambodia,26,OR,26,0,0
Stephen Fishbach,Cambodia,36,NY,29,0,1
Joe Anglim,Cambodia,26,AZ,32,0,1
Abi-Maria Gomes,Cambodia,35,CA,35,0,0
Kimmi Kappenberg,Cambodia,42,TX,36,0,0
Keith Nale,Cambodia,54,LA,37,0,1
Kelley Wentworth,Cambodia,29,WA,38,0,0
Spencer Bledsoe,Cambodia,23,IL,39,1,1
Tasha Fox,Cambodia,39,MO,39,1,0
Jeremy Collins,Cambodia,37,MA,39,1,1
Darnell Hamilton,Kaôh Rōng,27,IL,3,0,1
Jennifer Lanzetti,Kaôh Rōng,38,UT,6,0,0
Liz Markham,Kaôh Rōng,27,NY,8,0,0
Caleb Reynolds,Kaôh Rōng,28,KY,9,1,1
Alecia Holden,Kaôh Rōng,24,TX,11,0,0
Anna Khait,Kaôh Rōng,26,NY,13,0,0
Peter Baggenstos,Kaôh Rōng,34,MN,16,0,1
Neal Gottlieb,Kaôh Rōng,38,CA,19,1,1
Nick Maiorano,Kaôh Rōng,30,CA,22,0,1
Debbie Wanner,Kaôh Rōng,49,PA,24,0,0
Scot Pollard,Kaôh Rōng,40,IN,27,0,1
Julia Sokolowski,Kaôh Rōng,19,MA,29,0,0
Kyle Jason,Kaôh Rōng,31,MI,32,0,1
Joe del Campo,Kaôh Rōng,72,FL,34,1,1
Cydney Gillon,Kaôh Rōng,23,GA,37,0,0
Tai Trang,Kaôh Rōng,51,CA,39,1,1
Aubry Bracco,Kaôh Rōng,29,MA,39,1,0
Michele Fitzgerald,Kaôh Rōng,24,NJ,39,1,0
Rachel Ako,Millennials vs. Gen X,37,CA,4,0,0
Mari Takahashi,Millennials vs. Gen X,31,CA,7,0,0
Paul Wachter,Millennials vs. Gen X,52,FL,10,0,1
Lucy Huang,Millennials vs. Gen X,42,CA,12,0,0
CeCe Taylor,Millennials vs. Gen X,39,CA,15,0,0
Figgy Figueroa,Millennials vs. Gen X,23,TN,18,0,0
Michaela Bradshaw,Millennials vs. Gen X,25,TX,20,0,0
Michelle Schubert,Millennials vs. Gen X,28,WA,23,0,0
Taylor Stocker,Millennials vs. Gen X,24,ID,25,0,1
Chris Hammons,Millennials vs. Gen X,38,OK,28,0,1
Jessica Lewis,Millennials vs. Gen X,37,NY,30,1,0
Zeke Smith,Millennials vs. Gen X,28,NY,33,0,1
Will Wahl,Millennials vs. Gen X,18,NJ,34,0,1
Sunday Burquest,Millennials vs. Gen X,45,MN,35,0,0
Jay Starrett,Millennials vs. Gen X,27,FL,36,0,1
Bret LaBelle,Millennials vs. Gen X,42,MA,37,0,1
David Wright,Millennials vs. Gen X,42,CA,38,0,1
Hannah Shapiro,Millennials vs. Gen X,24,CA,39,1,0
Ken McNickle,Millennials vs. Gen X,33,CO,39,1,1
Adam Klein,Millennials vs. Gen X,25,CA,39,1,1
Ciera Eastin,Game Changers,27,OR,3,0,0
Tony Vlachos,Game Changers,42,NJ,6,0,1
Caleb Reynolds,Game Changers,28,KY,9,0,1
Malcolm Freberg,Game Changers,29,CA,11,0,1
J.T. Thomas,Game Changers,31,AL,13,0,1
Sandra Diaz-Twine,Game Changers,41,CT,16,0,0
Jeff Varner,Game Changers,50,NC,18,0,1
Hali Ford,Game Changers,26,CA,21,0,0
Ozzy Lusth,Game Changers,34,CA,24,0,1
Debbie Wanner,Game Changers,51,PA,26,0,0
Zeke Smith,Game Changers,28,NY,29,0,1
Sierra Dawn Thomas,Game Changers,29,UT,32,0,0
Andrea Boehlke,Game Changers,27,NY,33,0,0
Michaela Bradshaw,Game Changers,25,TX,35,0,0
Cirie Fields,Game Changers,45,SC,36,1,0
Aubry Bracco,Game Changers,30,MA,37,0,0
Tai Trang,Game Changers,52,CA,38,0,1
Troyzan Robertson,Game Changers,54,FL,39,1,1
Brad Culpepper,Game Changers,47,FL,39,1,1
Sarah Lacina,Game Changers,32,IA,39,1,0
Katrina Radke,Heroes vs. Healers vs. Hustlers,46,MN,3,0,0
Simone Nguyen,Heroes vs. Healers vs. Hustlers,25,NY,6,0,0
Patrick Bolton,Heroes vs. Healers vs. Hustlers,24,AL,8,0,1
Alan Ball,Heroes vs. Healers vs. Hustlers,32,TX,11,0,1
Roark Luskin,Heroes vs. Healers vs. Hustlers,27,CA,14,0,0
Ali Elliott,Heroes vs. Healers vs. Hustlers,24,CA,16,0,0
Jessica Johnston,Heroes vs. Healers vs. Hustlers,29,KY,19,0,0
Desi Williams,Heroes vs. Healers vs. Hustlers,27,VA,21,0,0
Cole Medders,Heroes vs. Healers vs. Hustlers,24,AR,24,0,1
JP Hilsabeck,Heroes vs. Healers vs. Hustlers,28,CA,27,0,1
Joe Mena,Heroes vs. Healers vs. Hustlers,34,CT,30,0,1
Lauren Rimmer,Heroes vs. Healers vs. Hustlers,35,NC,33,0,0
Ashley Nolan,Heroes vs. Healers vs. Hustlers,26,FL,36,0,0
Mike Zahalsky,Heroes vs. Healers vs. Hustlers,43,FL,37,0,1
Devon Pinto,Heroes vs. Healers vs. Hustlers,23,CA,38,1,1
Ryan Ulrich,Heroes vs. Healers vs. Hustlers,23,NJ,39,1,1
Chrissy Hofbeck,Heroes vs. Healers vs. Hustlers,46,NJ,39,1,0
Ben Driebergen,Heroes vs. Healers vs. Hustlers,34,ID,39,1,1
